Company Name,Industry,Symbol,Series,ISIN Code,Capitalization
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,LARGE
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014,LARGE
Adani Green Energy Ltd.,POWER,ADANIGREEN,EQ,INE364U01010,LARGE
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,LARGE
Adani Transmission Ltd.,POWER,ADANITRANS,EQ,INE931S01010,LARGE
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,LARGE
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,LARGE
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,LARGE
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,LARGE
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011,LARGE
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,LARGE
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,LARGE
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,LARGE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,LARGE
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,LARGE
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014,LARGE
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039,LARGE
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038,LARGE
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,LARGE
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,LARGE
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017,LARGE
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013,LARGE
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026,LARGE
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,LARGE
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027,LARGE
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,LARGE
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,LARGE
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022,LARGE
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025,LARGE
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023,LARGE
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026,LARGE
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,LARGE
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,LARGE
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,LARGE
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,LARGE
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014,LARGE
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028,LARGE
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,LARGE
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,LARGE
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025,LARGE
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,LARGE
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,LARGE
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034,LARGE
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,LARGE
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,LARGE
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015,LARGE
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,LARGE
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025,LARGE
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,LARGE
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,LARGE
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017,LARGE
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019,LARGE
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,LARGE
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010,LARGE
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027,LARGE
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,LARGE
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024,LARGE
Infosys Ltd.,IT,INFY,EQ,INE009A01021,LARGE
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027,LARGE
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,LARGE
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,LARGE
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019,LARGE
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,LARGE
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037,LARGE
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,LARGE
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026,LARGE
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,LARGE
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035,LARGE
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012,LARGE
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023,LARGE
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,LARGE
