,S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Qtr Profit Var  %,Qtr Sales Var  %,ROCE  %,ROA 12M  %,ROE  %,Prom. Hold.  %,Debt / Eq,Trd Qty,PEG,IV  Rs.,Ind PE,EPS 12M  Rs.,Ticker,Type,Company_Name
3,4.0,ACC,1615.05,24.85,30328.58,21.04,0.28,18.99,11.98,12.18,54.53,0.01,1777680.0,7.84,8150.17,18.8,64.98,ACC,Peer_Comparison,ACC
0,1.0,Abbott India,16504.9,53.24,35072.91,1.35,0.0,35.18,24.85,26.73,74.99,0.07,32935.0,2.52,12515.59,55.43,310.01,ABBOTINDIA,Peer_Comparison,Abbott India
0,1.0,Adani Green,1010.8,1083.11,158090.56,-39.91,-80.67,7.92,3.05,9.43,74.91,0.9,1136178.0,,,11.46,1.61,ADANIGREEN,Peer_Comparison,Adani Green
0,1.0,Adani Ports,467.0,48.87,94882.81,43.21,1.01,11.31,3.98,9.4,63.65,1.65,6337091.0,-18.17,-2778.87,24.66,9.56,ADANIPORTS,Peer_Comparison,Adani Ports
3,4.0,Adani Transmissi,425.25,3685.53,46769.42,56.0,0.0,7.6,-0.57,-4.38,74.92,1.74,550055.0,,,11.46,0.12,ADANITRANS,Peer_Comparison,Adani Transmissi
7,8.0,Alkem Lab,2929.25,22.73,35023.58,14.1,4.72,20.33,18.22,21.48,62.43,0.16,116319.0,0.75,1553.81,24.17,128.9,ALKEM,Peer_Comparison,Alkem Lab
2,3.0,Ambuja Cements,246.45,28.0,48936.23,87.77,8.63,9.37,7.03,7.06,63.27,0.04,9670924.0,21.88,3080.0,18.8,8.8,AMBUJACEM,Peer_Comparison,Ambuja Cements
0,1.0,Asian Paints,2548.15,107.21,244417.98,0.33,5.81,35.93,26.93,29.2,52.79,0.06,2053908.0,7.05,2654.29,70.66,23.52,ASIANPAINT,Peer_Comparison,Asian Paints
4,5.0,Aurobindo Pharma,889.4,19.59,52113.38,101.33,40.44,16.06,11.46,15.38,52.01,0.23,2412809.0,4.55,3301.66,24.17,45.4,AUROPHARMA,Peer_Comparison,Aurobindo Pharma
0,1.0,Avenue Super.,2671.95,183.89,173082.16,-36.86,-12.29,20.72,15.15,16.04,74.99,0.02,1104346.0,4.09,962.65,84.18,14.72,DMART,Peer_Comparison,Avenue Super.
0,1.0,Bajaj Auto,3289.0,22.46,95172.81,-18.84,-7.16,31.33,24.17,24.42,53.69,0.01,559632.0,1.91,4483.12,23.23,146.46,BAJAJ-AUTO,Peer_Comparison,Bajaj Auto
1,2.0,Berger Paints,681.15,109.75,66154.64,10.53,7.45,31.47,23.25,27.6,74.99,0.19,747992.0,5.16,513.17,70.66,6.21,BERGEPAINT,Peer_Comparison,Berger Paints
2,3.0,B P C L,405.45,16.32,87952.35,36.54,-22.06,8.09,4.69,10.03,52.98,0.8,9926476.0,-2.36,-734.68,8.36,19.47,BPCL,Peer_Comparison,B P C L
0,1.0,Bharti Airtel,503.05,,274441.81,-113.43,23.04,0.99,2.65,5.46,56.24,1.51,14830289.0,,,36.71,-50.94,BHARTIARTL,Peer_Comparison,Bharti Airtel
3,4.0,Biocon,454.0,159.74,54480.0,-10.46,6.89,5.3,4.09,4.16,61.3,0.0,3780606.0,-37.76,-2030.17,24.17,3.36,BIOCON,Peer_Comparison,Biocon
1,2.0,Bosch,13189.45,58.8,38900.49,127.66,7.2,18.46,11.53,12.0,70.54,0.01,128324.0,-22.7,-10617.6,45.41,29.23,BOSCHLTD,Peer_Comparison,Bosch
1,2.0,Britannia Inds.,3776.95,52.9,90974.75,-0.25,11.45,41.07,30.69,35.35,50.58,0.87,762348.0,2.22,2538.13,58.89,71.49,BRITANNIA,Peer_Comparison,Britannia Inds.
5,6.0,Cadila Health.,469.85,26.46,48100.55,-14.56,31.73,13.76,10.42,14.37,74.88,0.24,2812224.0,11.36,3145.22,24.17,17.31,CADILAHC,Peer_Comparison,Cadila Health.
2,3.0,Cipla,789.3,28.38,63652.79,1.12,12.99,17.34,13.21,13.42,36.7,0.0,7231145.0,2.02,897.2,24.17,27.82,CIPLA,Peer_Comparison,Cipla
0,1.0,Coal India,143.35,7.94,88342.71,-81.15,-8.25,73.38,56.35,73.23,66.13,0.0,25220064.0,-2.36,-682.46,17.27,18.05,COALINDIA,Peer_Comparison,Coal India
0,1.0,Container Corpn.,404.0,33.53,24615.49,-60.59,-13.57,13.63,8.67,9.15,54.8,0.0,2890097.0,-15.04,-2838.77,24.81,11.8,CONCOR,Peer_Comparison,Container Corpn.
0,1.0,Dabur India,513.6,70.29,90774.72,9.28,17.91,33.93,27.19,29.03,67.87,0.03,5353349.0,6.99,803.47,36.13,7.18,DABUR,Peer_Comparison,Dabur India
0,1.0,Divi's Lab.,3599.8,54.36,95563.38,45.48,22.07,24.45,18.41,18.63,51.96,0.0,873571.0,5.83,6180.71,22.03,66.23,DIVISLAB,Peer_Comparison,Divi's Lab.
1,2.0,Dr Reddy's Labs,5022.8,34.01,83521.73,-64.76,-2.91,18.57,19.3,21.04,26.8,0.1,1151678.0,2.71,6416.14,24.17,147.74,DRREDDY,Peer_Comparison,Dr Reddy's Labs
0,1.0,Eicher Motors,2400.45,54.29,65593.94,-36.74,-2.69,31.37,24.14,24.75,49.25,0.01,1500180.0,1.82,1287.82,53.02,44.24,EICHERMOT,Peer_Comparison,Eicher Motors
