,Date,Symbol,Mom_Size,Adj Close,Capitalization,Industry,Invest_Amount,Shares
19819,2020-12-11,DHANUKA,0.14285714285714285,745.5999755859375,SMALLCAP,FERTILISERS & PESTICIDES,28571.42857142857,38.0
19818,2020-12-11,ALEMBICLTD,0.14352888490819526,100.0500030517578,SMALLCAP,PHARMA,28705.776981639054,287.0
19817,2020-12-11,GAEL,0.14375279892521273,121.0500030517578,SMALLCAP,CONSUMER GOODS,28750.559785042544,238.0
6603,2020-12-11,LTI,0.08508732646663682,3268.64990234375,LARGE,IT,17017.465293327365,5.0
6604,2020-12-11,AUROPHARMA,0.08351992834751455,897.3499755859375,LARGE,PHARMA,16703.985669502912,19.0
6605,2020-12-11,CADILAHC,0.08038513210927004,466.6499938964844,LARGE,PHARMA,16077.026421854007,34.0
13212,2020-12-11,AJANTPHARM,0.10008956560680698,1682.6500244140625,MIDCAP,PHARMA,20017.9131213614,12.0
13211,2020-12-11,ESCORTS,0.10680698611733094,1361.050048828125,MIDCAP,AUTOMOBILE,21361.39722346619,16.0
13210,2020-12-11,NAVINFLUOR,0.11397223466188984,2536.89990234375,MIDCAP,CHEMICALS,22794.446932377967,9.0
6600,2020-12-10,LTI,0.0847985755619853,3251.39990234375,LARGE,IT,16959.71511239706,5.0
6601,2020-12-10,AUROPHARMA,0.08457600712219007,899.0,LARGE,PHARMA,16915.201424438015,19.0
6602,2020-12-10,CADILAHC,0.08257289116403294,469.5499877929688,LARGE,PHARMA,16514.578232806587,35.0
13209,2020-12-10,AJANTPHARM,0.09971066102826619,1683.5,MIDCAP,PHARMA,19942.132205653237,12.0
13208,2020-12-10,ESCORTS,0.10616514578232807,1371.8499755859375,MIDCAP,AUTOMOBILE,21233.029156465615,15.0
13207,2020-12-10,NAVINFLUOR,0.11306476741598041,2554.449951171875,MIDCAP,CHEMICALS,22612.95348319608,9.0
19814,2020-12-10,ALEMBICLTD,0.14466948586690406,101.8499984741211,SMALLCAP,PHARMA,28933.897173380814,284.0
19815,2020-12-10,POLYPLEX,0.14266636990874693,771.1500244140625,SMALLCAP,INDUSTRIAL MANUFACTURING,28533.273981749386,37.0
19816,2020-12-10,DHANUKA,0.141776096149566,759.8499755859375,SMALLCAP,FERTILISERS & PESTICIDES,28355.219229913197,37.0
13206,2020-12-09,AJANTPHARM,0.10044444444444445,1680.449951171875,MIDCAP,PHARMA,20088.88888888889,12.0
13205,2020-12-09,ESCORTS,0.10555555555555556,1389.25,MIDCAP,AUTOMOBILE,21111.11111111111,15.0
