KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Sales,7061,7934,7637,9576,11275,11061,11645,11706,10990,13285,14801,15657,ACC,Income_Statement
Expenses,5327,5451,6045,7656,9170,9433,10138,10222,9548,11375,12757,13247,ACC,Income_Statement
Operating Profit,1733,2483,1592,1921,2105,1629,1507,1484,1441,1909,2045,2409,ACC,Income_Statement
OPM %,25%,31%,21%,20%,19%,15%,13%,13%,13%,14%,14%,15%,ACC,Income_Statement
Other Income,338,238,319,192,20,286,268,19,118,132,138,311,ACC,Income_Statement
Interest,40,84,57,97,115,114,83,67,83,102,89,86,ACC,Income_Statement
Depreciation,294,342,393,475,559,574,558,652,605,640,600,603,ACC,Income_Statement
Profit before tax,1737,2294,1461,1540,1451,1227,1135,784,871,1298,1494,2031,ACC,Income_Statement
Tax %,30%,30%,23%,14%,27%,11%,-3%,25%,26%,29%,-1%,33%,ACC,Income_Statement
Net Profit,1213,1607,1120,1325,1061,1096,1168,592,647,915,1507,1359,ACC,Income_Statement
EPS in Rs,64.62,85.58,59.66,70.59,56.52,58.36,62.23,31.51,34.46,48.75,80.23,72.36,ACC,Income_Statement
Dividend Payout %,31%,27%,51%,40%,53%,51%,55%,54%,49%,53%,17%,19%,ACC,Income_Statement
Share Capital,188,188,188,188,188,188,188,188,188,188,188,188,ACC,Balance_Sheet
Reserves,4740,5828,6282,7004,7195,7637,8048,8255,8644,9177,10340,11333,ACC,Balance_Sheet
Borrowings,482,567,524,511,163,35,0,36,50,59,0,0,ACC,Balance_Sheet
Other Liabilities,3102,3463,4108,4286,4380,4234,4436,4362,4558,5464,5497,5561,ACC,Balance_Sheet
Total Liabilities,8511,10046,11101,11989,11926,12094,12671,12841,13440,14889,16025,17082,ACC,Balance_Sheet
Fixed Assets,3470,4158,5082,6208,5864,5504,5598,5285,7525,7241,7049,6991,ACC,Balance_Sheet
CWIP,1603,2156,1563,366,311,820,1915,2371,261,262,392,435,ACC,Balance_Sheet
Investments,679,1476,1703,1625,2554,2194,1573,1476,258,230,230,230,ACC,Balance_Sheet
Other Assets,2760,2256,2753,3791,3198,3576,3585,3709,5395,7156,8353,9425,ACC,Balance_Sheet
Total Assets,8511,10046,11101,11989,11926,12094,12671,12841,13440,14889,16025,17082,ACC,Balance_Sheet
Cash from Operating Activity,1708,2397,1935,1571,1577,1056,1332,1461,1380,1555,1118,2248,ACC,Cash_Flow
Cash from Investing Activity,-1170,-2634,-812,-258,-306,-858,-1437,-948,-539,-384,-367,-328,ACC,Cash_Flow
Cash from Financing Activity,-297,-455,-621,-768,-1066,-834,-837,-681,-420,-422,-441,-374,ACC,Cash_Flow
Net Cash Flow,241,-692,502,545,205,-636,-942,-168,421,749,310,1546,ACC,Cash_Flow
Sales,666,761,990,1490,1653,,2276,2289,2614,2903,3298,3679,ABBOTINDIA,Income_Statement
Expenses,590,663,920,1315,1470,,2009,1977,2250,2505,2774,3074,ABBOTINDIA,Income_Statement
Operating Profit,76,97,70,176,183,,267,312,365,398,525,605,ABBOTINDIA,Income_Statement
OPM %,11%,13%,7%,12%,11%,,12%,14%,14%,14%,16%,16%,ABBOTINDIA,Income_Statement
Other Income,26,29,36,20,51,,49,48,50,57,117,113,ABBOTINDIA,Income_Statement
Interest,0,0,0,0,0,,0,0,3,2,4,2,ABBOTINDIA,Income_Statement
Depreciation,7,9,11,15,19,,22,15,14,16,16,17,ABBOTINDIA,Income_Statement
Profit before tax,94,117,94,180,215,,295,344,398,436,621,699,ABBOTINDIA,Income_Statement
Tax %,33%,34%,35%,33%,33%,,33%,34%,36%,37%,35%,36%,ABBOTINDIA,Income_Statement
Net Profit,63,78,61,120,145,,198,229,255,277,401,450,ABBOTINDIA,Income_Statement
EPS in Rs,45.97,56.68,44.56,56.66,68.1,,93.39,107.75,120.12,130.19,188.82,211.93,ABBOTINDIA,Income_Statement
Dividend Payout %,30%,30%,38%,30%,25%,,25%,29%,29%,31%,29%,31%,ABBOTINDIA,Income_Statement
Share Capital,14,14,14,21,21,,21,21,21,21,21,21,ABBOTINDIA,Balance_Sheet
Reserves,208,258,292,523,626,,767,916,1174,1366,1672,1987,ABBOTINDIA,Balance_Sheet
Borrowings,1,0,0,0,0,,0,0,0,0,0,0,ABBOTINDIA,Balance_Sheet
