,Momentum,Mom_Sharpe,Mom_Slope,StDev,ROE,E/P,Sales/Price,BV/Price,Size_Factor,Quality,Value,MomSharpe_Size_EP,Vol_Size_EP,Mom_Size,Mom_EP,Size_EP,Mom_Size_Std,Size_Std,Benchmark NIFTY50,Benchmark NiftyMid
start,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2011-03-02 00:00:00,2011-03-02 00:00:00
end,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,14.923745807748757,28.268617098154994,18.70824655359905,2.436539893938154,3.779693271987937,0.10381692030297862,0.5607360400531214,2.2809261199773583,63.16984616332091,2.5424774713739073,0.5320190927938884,39.74173551131736,28.764628090895407,58.702814186119674,7.0730592814588515,14.889562174132955,11.312643270096018,5.303560734405015,1.4359768945312572,2.310827788625748
cagr,0.3627920279475332,0.45879307837928396,0.3956795811159328,0.14803895613678564,0.19118730175835053,0.011107543257676822,0.051043803059347415,0.14210483938224394,0.5926529162931109,0.1519436527601794,0.04886318721662697,0.5137607389811156,0.4615372467764016,0.5798530305824863,0.26310003405820215,0.3624645432586697,0.3241537019538969,0.2286294820370618,0.0953142512336913,0.13022629946650777
max_drawdown,-0.3465425112199847,-0.29134163663067647,-0.4119366572206722,-0.4086934903855274,-0.45174367972365714,-0.6981763646165915,-0.7052885745632793,-0.5491178787985782,-0.3434848690546547,-0.5188666608583683,-0.7107093688374806,-0.3818843592084131,-0.4796677864304798,-0.3590050745436112,-0.6004160925031705,-0.4397917777238801,-0.27664075357791873,-0.345361796088715,-0.3837976216739636,-0.9986440223788347
calmar,1.0468903993058252,1.5747597346028497,0.9605350098861667,0.36222489376363204,0.42322075623792804,0.015909365914694933,0.07237293343501867,0.25878749330318085,1.7254120040985241,0.2928375712342298,0.06875269886557611,1.345330665141829,0.9622018818712023,1.615166669495216,0.43819617319269777,0.8241730783021602,1.171749634721103,0.6619999218973615,0.24834508045664974,0.13040312318327435
mtd,0.005986429073810751,0.0028103895609286056,0.0354232982515974,0.005057672911752631,0.033943773130954646,0.11004141463575223,0.07876972720678621,0.05073519010334726,0.09926950558964198,0.020456984248077292,0.07876972691464434,0.02394361151651858,0.08143080779921141,0.0032031466648405615,0.021339158970420158,0.0972732478007372,0.02337772723925946,0.015693919260364675,0.04195307938605053,0.036626711561806635
three_month,0.12830432462356223,0.0966539877989201,0.15033512592433396,0.18694321477639764,0.15906871503417275,0.20605789629343874,0.16026380877800084,0.13291622092262179,0.27996286225977296,0.15853487842939806,0.16026380813871222,0.1456841289634796,0.17591678864911486,0.12809497195133157,0.11355537090604284,0.21847119184894148,0.09042833725461996,0.06656260415214521,0.17845995425018857,0.21898127248840105
six_month,0.34970617570646767,0.3058448589117284,0.33415496902751163,0.3504286542599133,0.3565945028897721,0.1981532072254808,0.3861990083228646,0.2475464367251754,0.4858750599597206,0.37846545303857226,0.3861925572305267,0.46950087279892894,0.36103790833873894,0.3873738861024203,0.20525504039292253,0.40906446476141656,0.25885822839509665,0.21230291072370333,0.3640480033452336,0.44352903363207186
